epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,515.993,1.98663,2.72122,1.26087,0.1098,0.15228,0.05349,0.02476,1.89414,2.62115,1.57555,0.000475881,0.000475881,0.000475881
2,1016.03,2.00973,2.26477,1.27987,0.12747,0.13269,0.06325,0.02504,2.05878,2.63953,1.68206,0.000857945,0.000857945,0.000857945
3,1514.22,1.97585,2.05747,1.26804,0.10696,0.12706,0.05868,0.02566,1.96042,2.33511,1.59823,0.0011457,0.0011457,0.0011457
4,2019.66,1.92012,1.95165,1.26058,0.07602,0.14987,0.05056,0.02353,1.91623,2.5057,1.56524,0.00100459,0.00100459,0.00100459
5,2533.8,1.84072,1.8417,1.20839,0.15772,0.19536,0.07054,0.03536,1.86192,2.31252,1.50845,0.000863116,0.000863116,0.000863116
6,3036.44,1.79413,1.76578,1.18725,0.17972,0.20681,0.08586,0.04414,1.81321,2.1094,1.47558,0.000721645,0.000721645,0.000721645
7,3530.72,1.7537,1.66836,1.16795,0.15974,0.1681,0.09274,0.04996,1.79484,2.079,1.45627,0.000580174,0.000580174,0.000580174
8,4022.67,1.68445,1.59041,1.1381,0.2046,0.23041,0.10232,0.05458,1.76749,2.04055,1.44352,0.000438703,0.000438703,0.000438703
9,4509.13,1.6466,1.50225,1.116,0.20402,0.18948,0.10211,0.05616,1.73107,1.96629,1.41587,0.000297232,0.000297232,0.000297232
10,4994.66,1.60503,1.452,1.10736,0.1939,0.18217,0.1027,0.05843,1.71032,1.97976,1.39569,0.000155761,0.000155761,0.000155761
